eligible corpus rows (frozen order): 494
[254/494] inotify@1.4.6: export=True regex_literals=0 dangerous=0 qualifies=False
[255/494] webworker-threads@0.7.17: export=True regex_literals=1 dangerous=0 qualifies=False
[256/494] talib@2.0.5: export=True regex_literals=1 dangerous=0 qualifies=False
[257/494] @snyk/node-dump-stacks@1.8.2: export=True regex_literals=0 dangerous=0 qualifies=False
[258/494] mfpdev-cli@8.0.2022100206: export=True regex_literals=2 dangerous=0 qualifies=False
[259/494] genx@2.0.0: export=True regex_literals=0 dangerous=0 qualifies=False
[260/494] cue-sdk@4.0.84: export=True regex_literals=0 dangerous=0 qualifies=False
[261/494] infinitysqlite@1.3.10: export=True regex_literals=0 dangerous=0 qualifies=False
[262/494] gdal-async@3.12.3: export=True regex_literals=10 dangerous=0 qualifies=False
[263/494] muhammara@6.0.6: export=True regex_literals=18 dangerous=0 qualifies=False
[264/494] @ronomon/quoted-printable@3.2.1: export=True regex_literals=3 dangerous=0 qualifies=False
[265/494] vscode-sqlite3@4.0.11: export=True regex_literals=0 dangerous=0 qualifies=False
[266/494] node-openjtalk-binding@1.3.0: export=True regex_literals=2 dangerous=0 qualifies=False
[267/494] pwuid@2.0.0: export=True regex_literals=0 dangerous=0 qualifies=False
[268/494] giac@1.23.69823: export=False regex_literals=1 dangerous=0 qualifies=False
[269/494] fuse-shared-library-linux-arm@1.0.0: export=True regex_literals=1 dangerous=0 qualifies=False
[270/494] heapdump@0.3.15: export=True regex_literals=1 dangerous=0 qualifies=False
[271/494] memoryjs@3.5.1: export=True regex_literals=2 dangerous=0 qualifies=False
[272/494] yencode@1.2.4: export=True regex_literals=4 dangerous=0 qualifies=False
[273/494] buffertools@2.1.6: export=True regex_literals=0 dangerous=0 qualifies=False
[274/494] node-libgpiod@0.6.0: export=True regex_literals=60 dangerous=0 qualifies=False
[275/494] @super-protocol/uplink-nodejs@1.2.20: export=True regex_literals=7 dangerous=0 qualifies=False
[276/494] uplink-nodejs@1.2.6: export=True regex_literals=138 dangerous=3 qualifies=True
[277/494] fuse-shared-library-darwin@1.1.3: export=True regex_literals=1 dangerous=0 qualifies=False
[278/494] @polarsignals/custom-labels@0.3.9: export=True regex_literals=0 dangerous=0 qualifies=False
[279/494] node-zopfli@2.1.4: export=True regex_literals=4 dangerous=0 qualifies=False
[280/494] @nodert-win10-au/windows.applicationmodel@0.4.4: export=True regex_literals=0 dangerous=0 qualifies=False
[281/494] node-pty-prebuilt-multiarch@0.10.0-test.3: export=True regex_literals=30 dangerous=0 qualifies=False
[282/494] swisseph@0.5.17: export=True regex_literals=6 dangerous=0 qualifies=False
[283/494] nodehun@3.0.2: export=True regex_literals=0 dangerous=0 qualifies=False
[284/494] nobind17@2.0.1: export=True regex_literals=0 dangerous=0 qualifies=False
[285/494] sleep@6.3.0: export=True regex_literals=1 dangerous=0 qualifies=False
[286/494] node-lmdb@0.10.1: export=True regex_literals=17 dangerous=0 qualifies=False
[287/494] electron-edge-js@44.0.0: export=True regex_literals=5 dangerous=0 qualifies=False
[288/494] @nodert-win10-21h1/windows.devices.geolocation@0.1.6: export=True regex_literals=0 dangerous=0 qualifies=False
[289/494] leveldown-prebuilt@1.0.8: export=True regex_literals=0 dangerous=0 qualifies=False
[290/494] cracklib@3.0.0: export=True regex_literals=0 dangerous=0 qualifies=False
[291/494] @nodert-win10-au/windows.foundation@0.4.4: export=True regex_literals=0 dangerous=0 qualifies=False
[292/494] @node-lightning/secp256k1@0.28.0: export=True regex_literals=6 dangerous=0 qualifies=False
[293/494] ced@2.0.0: export=True regex_literals=0 dangerous=0 qualifies=False
[294/494] @langateam/sqlite3@3.1.4: export=True regex_literals=0 dangerous=0 qualifies=False
[295/494] @nodert-win10-au/windows.data.xml.dom@0.4.4: export=True regex_literals=0 dangerous=0 qualifies=False
[296/494] @nodert-win10-rs4/windows.security.credentials.ui@0.4.4: export=True regex_literals=0 dangerous=0 qualifies=False
[297/494] nodencl@1.4.2: export=True regex_literals=6 dangerous=0 qualifies=False
[298/494] @astronautlabs/webrtc@0.6.1: export=True regex_literals=10 dangerous=0 qualifies=False
[299/494] @nodert-win10-au/windows.ui.notifications@0.4.4: export=True regex_literals=0 dangerous=0 qualifies=False
[300/494] indy-sdk@1.16.0: export=True regex_literals=0 dangerous=0 qualifies=False
